City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,maru,13.089,5.1628,34.48,27,84,3.35,NG,1696774562
1,tara,16.1555,120.4826,25.16,90,12,1.33,PH,1696774565
2,we,-29.5369,31.1292,17.21,94,100,3.6,ZA,1696774575
3,isafjordur,66.0755,-23.124,9.02,66,100,7.72,IS,1696774690
4,bethel,41.3712,-73.414,13.97,73,0,7.2,US,1696774690
5,thompson,55.7435,-97.8558,5.09,100,100,3.6,CA,1696774690
6,talnakh,69.4865,88.3972,4.56,99,100,5.48,RU,1696774691
7,port alfred,-33.5906,26.891,17.88,77,37,1.79,ZA,1696774691
8,nabire,-3.3667,135.4833,26.07,87,100,2.46,ID,1696774691
9,hawaiian paradise park,19.5933,-154.9731,22.24,88,20,2.57,US,1696774691
10,namibe,-15.1961,12.1522,21.43,80,50,5.05,AO,1696774691
11,brookings,44.3114,-96.7984,10.05,83,100,3.63,US,1696774556
12,alaghsas,17.0187,8.0168,36.94,23,40,2.06,NE,1696774691
13,adamstown,-25.066,-130.1015,19.14,72,17,5.76,PN,1696774691
14,waitangi,-43.9535,-176.5597,8.23,90,100,0.89,NZ,1696774691
15,grytviken,-54.2811,-36.5092,2.3,79,12,5.42,GS,1696774691
16,bredasdorp,-34.5322,20.0403,16.73,70,70,7.12,ZA,1696774516
17,maru,12.3342,6.4057,32.29,33,99,4.45,NG,1696774692
18,sint-truiden,50.8154,5.184,24.31,64,87,2.77,BE,1696774692
19,ola,59.5833,151.2833,4.12,95,100,3.06,RU,1696774692
20,arraial do cabo,-22.9661,-42.0278,28.98,69,75,5.14,BR,1696774692
21,wailua homesteads,22.0669,-159.378,22.08,91,44,3.42,US,1696774692
22,iqaluit,63.7506,-68.5145,-0.15,80,40,6.71,CA,1696774692
23,tamanrasset,22.785,5.5228,28.95,16,40,1.54,DZ,1696774692
24,tazovsky,67.4667,78.7,5.37,96,100,3.97,RU,1696774692
25,lospalos,-8.5186,127.0025,21.87,93,54,2.59,TL,1696774693
26,college,64.8569,-147.8028,-1.03,72,100,6.69,US,1696774693
27,ilulissat,69.2167,-51.1,1.01,93,75,5.66,GL,1696774693
28,port-aux-francais,-49.35,70.2167,4.96,94,100,18.8,TF,1696774693
29,blackmans bay,-43.0167,147.3167,8.07,87,1,2.35,AU,1696774693
30,plettenberg bay,-34.0527,23.3716,16.67,65,40,4.87,ZA,1696774693
31,edinburgh of the seven seas,-37.0676,-12.3116,12.83,78,94,8.21,SH,1696774693
32,bilibino,68.0546,166.4372,-6.14,96,100,1.2,RU,1696774693
33,mana,5.6592,-53.7767,31.31,57,0,4.23,GF,1696774694
34,ketchikan,55.3422,-131.6461,13.26,94,100,6.69,US,1696774694
35,taulaga,-11.0553,-171.0883,27.81,82,78,5.33,AS,1696774694
36,ushuaia,-54.8,-68.3,3.81,75,75,6.71,AR,1696774694
37,avarua,-21.2078,-159.775,22.03,94,75,1.03,CK,1696774694
38,papatowai,-46.5619,169.4708,8.15,79,100,5.9,NZ,1696774694
39,chonchi,-42.6128,-73.8092,10.07,97,98,2.85,CL,1696774588
40,ribeira grande,38.5167,-28.7,22.22,78,20,7.2,PT,1696774694
41,hamilton,39.1834,-84.5333,9.87,73,20,4.63,US,1696774503
42,lionel town,17.8101,-77.2406,33.94,70,30,1.95,JM,1696774694
43,vadso,70.0744,29.7487,2.09,80,40,4.63,NO,1696774695
44,whitehorse,60.7161,-135.0538,7.79,87,100,8.23,CA,1696774695
45,puerto natales,-51.7236,-72.4875,5.25,56,40,13.38,CL,1696774695
46,tataouine,32.9297,10.4518,27.18,35,0,4.8,TN,1696774695
47,stanley,54.868,-1.6985,16.14,91,20,2.06,GB,1696774695
48,luderitz,-26.6481,15.1594,18.2,66,11,12.11,NA,1696774593
49,tara,56.8944,74.371,13.32,63,90,5.36,RU,1696774695
50,alice springs,-23.7,133.8833,13.75,30,0,1.54,AU,1696774695
51,lycksele,64.5954,18.6735,5.93,56,20,5.66,SE,1696774695
52,luena,-11.7833,19.9167,31.0,30,94,0.72,AO,1696774695
53,peace river,56.2501,-117.286,9.25,75,20,1.54,CA,1696774643
54,tonghae,37.5439,129.1069,16.24,65,95,1.32,KR,1696774696
55,sidi ifni,29.3797,-10.173,37.86,29,77,2.96,MA,1696774696
56,enewetak,11.3474,162.3373,26.83,88,100,6.43,MH,1696774696
57,olmos,-5.9847,-79.7453,23.83,67,48,1.73,PE,1696774696
58,akobo,7.4344,3.9497,30.03,61,89,1.25,NG,1696774696
59,kapa'a,22.0752,-159.319,22.83,89,39,3.91,US,1696774696
60,shingu,33.7333,135.9833,20.54,95,100,7.27,JP,1696774696
61,kill devil hills,36.0307,-75.676,16.66,56,0,4.63,US,1696774562
62,utrik,11.2278,169.8474,28.16,83,100,10.26,MH,1696774696
63,minas de marcona,-15.2119,-75.1103,15.3,77,78,6.85,PE,1696774632
64,st. john's,47.5649,-52.7093,13.49,84,75,4.63,CA,1696774515
65,agadez,19.75,10.25,33.03,15,0,4.34,NE,1696774697
66,hermanus,-34.4187,19.2345,17.13,69,42,8.59,ZA,1696774697
67,taksimo,56.3444,114.8794,5.4,88,78,1.34,RU,1696774697
68,whangarei,-35.7317,174.3239,11.37,85,72,4.48,NZ,1696774697
69,punta arenas,-53.15,-70.9167,3.06,81,20,14.92,CL,1696774697
70,piacabucu,-10.4056,-36.4344,28.66,62,71,5.86,BR,1696774697
71,salekhard,66.53,66.6019,7.25,87,64,2.68,RU,1696774697
72,lebu,-37.6167,-73.65,12.04,65,84,2.9,CL,1696774697
73,petropavlovsk-kamchatsky,53.0452,158.6483,6.94,88,75,2.0,RU,1696774515
74,corner brook,48.9667,-57.9484,16.09,78,100,5.41,CA,1696774508
75,susuman,62.7833,148.1667,-6.12,61,59,0.89,RU,1696774698
76,greymouth,-42.4667,171.2,6.73,90,51,1.33,NZ,1696774698
77,kapit,2.0167,112.9333,23.56,99,100,0.53,MY,1696774698
78,port saint john's,-31.6229,29.5448,17.16,73,100,3.07,ZA,1696774698
79,san antonio de pale,-1.4014,5.6325,25.62,83,92,5.19,GQ,1696774698
80,nova sintra,14.8667,-24.7167,24.74,72,98,3.37,CV,1696774698
81,chernyshevsk,52.5243,117.0174,7.08,55,7,1.72,RU,1696774698
82,farasan,16.7022,42.1183,31.82,79,0,9.02,SA,1696774698
83,mancora,-4.1078,-81.0475,25.49,68,19,1.06,PE,1696774698
